Activity,Modality,Sub-office,Zone,Woreda,FDP/Site Name,Partner,Active Status,Priority Level,Latitude,Longitude
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 41,CAAP,Active,Normal,9.334623,42.804998
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 42,CAAP,Active,High,9.453453,42.743721
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 01,CAAP,Active,Normal,9.163405,42.284877
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 02,CAAP,Active,Normal,9.284078,42.343013
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 03,CAAP,Active,High,9.182917,42.355929
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 04,CAAP,Active,Normal,9.226795,42.387805
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 05,CAAP,Active,Normal,9.170856,42.297064
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 06,CAAP,Active,Normal,9.192552,42.217554
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 07,CAAP,Active,Normal,9.240728,42.338274
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 08,CAAP,Active,Normal,9.220358,42.303579
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 09,CAAP,Active,Normal,9.120924,42.290555
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 10,CAAP,Active,Normal,9.19601,42.263841
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 11,CAAP,Active,Normal,9.20871,42.348284
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 12,CAAP,Active,Normal,9.352033,42.33222
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 13,CAAP,Active,Normal,9.238029,42.314789
Activity 1 Relief,Cash,Jijiga,Fafan,Babile,Babile FDP 14,CAAP,Active,Normal,9.085686,42.318144
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 01,CAAP,Active,Normal,9.354216,42.592427
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 02,CAAP,Active,Normal,9.336535,42.441108
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 03,CAAP,Active,Normal,9.34757,42.338193
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 04,CAAP,Active,Normal,9.429998,42.472635
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 05,CAAP,Active,Normal,9.405372,42.356343
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 06,CAAP,Active,Normal,9.448196,42.32187
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 07,CAAP,Active,Normal,9.39108,42.573332
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 08,CAAP,Active,Normal,9.280662,42.380359
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 09,CAAP,Active,Normal,9.356976,42.384757
Activity 1 Relief,Food,Jijiga,Fafan,Gursum,Gursum FDP 10,CAAP,Active,Normal,9.241454,42.424799
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 01,IMC,Active,Normal,8.055639,42.333151
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 02,IMC,Active,High,8.06564,42.408495
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 03,IMC,Active,Normal,8.075172,42.277456
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 04,IMC,Active,Normal,8.186946,42.213839
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 05,IMC,Active,Normal,8.145922,42.3915
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 06,IMC,Active,Normal,8.017476,42.312924
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 07,IMC,Active,Normal,8.148192,42.354728
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 08,IMC,Active,Normal,8.043413,42.207568
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 09,IMC,Active,Normal,8.166536,42.320789
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 10,IMC,Active,Normal,8.147534,42.324251
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 11,IMC,Active,Normal,8.082398,42.316258
Activity 2 Nutrition,TSFP,Jijiga,Erer,Fik,Fik FDP 12,IMC,Active,Normal,8.150515,42.249995
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 01,IMC,Active,Normal,7.980604,42.583168
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 02,IMC,Active,Normal,7.766609,42.595959
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 03,IMC,Active,Normal,7.781772,42.605096
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 04,IMC,Active,Normal,7.931102,42.492552
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 05,IMC,Active,Normal,7.917436,42.578895
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 06,IMC,Active,Normal,7.907544,42.682776
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 07,IMC,Active,Normal,7.832823,42.497238
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 08,IMC,Active,Normal,7.787734,42.492893
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 09,IMC,Active,Normal,7.844603,42.573881
Activity 2 Nutrition,TSFP,Jijiga,Erer,Duhun,Duhun FDP 10,IMC,Active,Normal,7.869368,42.607903
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 01,IMC,Active,High,9.18091,43.151747
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 02,IMC,Active,High,9.161474,43.240412
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 03,IMC,Active,Normal,9.223797,42.989999
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 04,IMC,Active,Normal,9.105038,43.083773
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 05,IMC,Active,Normal,9.164358,43.09998
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 06,IMC,Active,Normal,9.213127,43.044902
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 07,IMC,Active,High,9.120724,42.943961
Activity 2 Nutrition,TSFP,Jijiga,Fafan,Harorays,Harorays FDP 08,IMC,Active,Normal,9.148744,43.109948
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 01,RRS/UNHCR,Active,Normal,9.734987,42.932798
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 02,RRS/UNHCR,Active,Normal,9.732123,43.046972
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 03,RRS/UNHCR,Active,Normal,9.65813,43.030761
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 04,RRS/UNHCR,Active,Normal,9.724075,42.939992
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Aw-Bare Camp,Aw-Bare Camp Site 05,RRS/UNHCR,Active,High,9.745045,43.059255
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 01,RRS/UNHCR,Active,Normal,9.175814,43.263766
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 02,RRS/UNHCR,Active,Normal,9.003563,43.124352
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 03,RRS/UNHCR,Active,Normal,9.136052,43.225965
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 04,RRS/UNHCR,Active,Normal,9.136053,43.459691
Activity 3 Refugee Operations,GFD,Jijiga,Fafan,Kebribeyah Camp,Kebribeyah Camp Site 05,RRS/UNHCR,Active,Normal,9.139962,43.26949
Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 01,RRS/UNHCR,Active,Normal,9.56678,43.125597
Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 02,RRS/UNHCR,Active,Normal,9.477931,43.133128
Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 03,RRS/UNHCR,Active,Normal,9.445902,43.063423
Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 04,RRS/UNHCR,Active,Normal,9.466025,43.085731
Activity 3 Refugee Operations,School Feeding,Jijiga,Fafan,Sheder Camp,Sheder Camp Site 05,RRS/UNHCR,Active,Normal,9.662026,42.949291
